GEO_NAME,Arab,Black,Chinese,Filipino,Japanese,Korean,Latin American,Multiple Indigenous ancestries (only),Multiple Indigenous and non-Indigenous ancestries,Multiple visible minorities,Single Indigenous ancestry (only),Single Indigenous and non-Indigenous ancestries,South Asian,Southeast Asian,"Visible minority, n.i.e.",West Asian
"Chase, Village (VL)",0.0,15.0,25.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,56.25,86.25,0.0,0.0,0.0,0.0
"Chatham, Parish (P)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0
Chatham-Kent,315.0,2600.0,350.0,420.0,105.0,135.0,485.0,6.0,26.0,240.0,1010.0,1945.0,1315.0,475.0,185.0,65.0
"Chatham-Kent, Municipality (MU)",315.0,2600.0,350.0,420.0,105.0,135.0,485.0,4.0,28.0,240.0,858.75,1938.75,1315.0,475.0,185.0,65.0
"Cheam 1, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.25,17.5,0.0,0.0,0.0,0.0
"Chelsea, Municipalité (MÉ)",40.0,55.0,55.0,25.0,0.0,0.0,70.0,0.0,0.0,20.0,27.5,216.25,85.0,65.0,0.0,25.0
"Chemainus 13, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.75,0.0,0.0,0.0,0.0,0.0
"Chestermere, City (CY)",670.0,535.0,415.0,910.0,20.0,70.0,420.0,0.0,0.0,585.0,107.5,275.0,4485.0,1120.0,75.0,80.0
"Chesterville, Municipalité (MÉ)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.5,0.0,0.0,0.0,0.0
Chilliwack,235.0,1080.0,1550.0,1565.0,305.0,615.0,1125.0,25.0,78.0,480.0,2127.5,3047.5,3280.0,1120.0,235.0,300.0
"Chilliwack, City (CY)",230.0,1005.0,1425.0,1470.0,280.0,510.0,1015.0,17.0,70.0,470.0,1076.25,2505.0,3025.0,955.0,205.0,280.0
"Chippewas of Georgina Island First Nation, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,25.0,0.0,10.0,0.0,0.0
"Chisholm, Township (TP)",0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,33.75,0.0,0.0,0.0,0.0
"Chute-aux-Outardes, Village (VL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,70.0,0.0,0.0,0.0,0.0
"Château-Richer, Ville (V)",0.0,45.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75,17.5,0.0,25.0,0.0,0.0
"Châteauguay, Ville (V)",1650.0,5760.0,405.0,310.0,15.0,35.0,1550.0,0.0,0.0,365.0,382.5,677.5,770.0,235.0,200.0,200.0
"Clarence-Rockland, City (C)",200.0,950.0,110.0,150.0,30.0,0.0,65.0,0.0,21.0,95.0,312.5,900.0,205.0,15.0,0.0,40.0
"Clarington, Municipality (MU)",570.0,5255.0,895.0,1165.0,180.0,140.0,740.0,6.0,36.0,825.0,347.5,1636.25,4970.0,380.0,800.0,690.0
"Clavet, Village (VL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
"Clyde River, Rural municipality (RM)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
